name	mod	context	context_source	default	live	seen	english	russian
key.jei.showRecipe2	jei	UNIVERSAL	assumed		key.mouse.left	options	Show Recipe	Отобразить рецепт
key.jei.showUses	jei	UNIVERSAL	assumed		key.keyboard.u	options	Show Uses	Отобразить применения
key.jei.showUses2	jei	UNIVERSAL	assumed		key.mouse.right	options	Show Uses	Отобразить применения
key.jei.toggleBookmarkOverlay	jei	UNIVERSAL	assumed		key.keyboard.unknown	options	Show/Hide Bookmarked Ingredients	Отобразить/скрыть ингредиенты отмеченные закладкой
key.jei.toggleCheatMode	jei	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Cheat Mode	Вкл/выкл режим жульничества
key.jei.toggleCheatModeConfigButton	jei	UNIVERSAL	assumed		key.mouse.left:CONTROL	options	Toggle Cheat Mode	Вкл/выкл режим жульничества
key.jei.toggleEditMode	jei	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Hide Ingredients Mode	Вкл/выкл режим скрытия ингредиента
key.jei.toggleHideIngredient	jei	UNIVERSAL	assumed		key.mouse.left:CONTROL	options	Hide Ingredient	Скрыть ингредиент
key.jei.toggleOverlay	jei	UNIVERSAL	assumed		key.keyboard.o:CONTROL	options	Show/Hide JEI Overlays	Отобразить/скрыть наложения JEI
key.jei.toggleWildcardHideIngredient	jei	UNIVERSAL	assumed		key.mouse.right:CONTROL	options	Hide Ingredient (With Wildcard)	Скрыть ингредиент (специальный символ)
key.jei.transferRecipeBookmark	jei	UNIVERSAL	assumed		key.mouse.left:SHIFT	options	Craft Bookmarked Recipe (One)	Создать рецепт в закладке (один раз)
key.journeymap.create_waypoint	journeymap	UNIVERSAL	assumed		key.keyboard.b	options	Create Waypoint	Создать метку
key.journeymap.fullscreen.disable_buttons	journeymap	UNIVERSAL	assumed		key.keyboard.unknown	options	Disable Fullscreen Buttons	Disable Fullscreen Buttons
key.journeymap.fullscreen.east	journeymap	UNIVERSAL	assumed		key.keyboard.right	options	Pan East (16 Blocks)	Сместить на восток (16 блоков)
key.journeymap.fullscreen.north	journeymap	UNIVERSAL	assumed		key.keyboard.up	options	Pan North (16 Blocks)	Сместить на север (16 блоков)
key.journeymap.fullscreen.south	journeymap	UNIVERSAL	assumed		key.keyboard.down	options	Pan South (16 Blocks)	Сместить на юг (16 блоков)
key.journeymap.fullscreen.west	journeymap	UNIVERSAL	assumed		key.keyboard.left	options	Pan West (16 Blocks)	Сместить на запад (16 блоков)
